"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of",16,236682.68,25000,261682.68,"FY15","06/30/2015"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY15","06/30/2015"
"Europe and Central Asia","Montenegro",6,86754.2,0,86754.2,"FY15","06/30/2015"
"Europe and Central Asia","Poland",46,454925.93,115317,570242.77,"FY15","06/30/2015"
"Europe and Central Asia","Romania",50,2265739.56,478163,2743903.02,"FY15","06/30/2015"
"Europe and Central Asia","Russian Federation",194,8797860.99,2523372,11321232.95,"FY15","06/30/2015"
"Europe and Central Asia","Serbia",38,1469522.71,135630,1605152.96,"FY15","06/30/2015"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY15","06/30/2015"
"Europe and Central Asia","Slovenia",12,241309.47,47383,288692.18,"FY15","06/30/2015"
"Europe and Central Asia","Tajikistan",20,143465.69,0,143465.69,"FY15","06/30/2015"
"Europe and Central Asia","Turkey",190,9256835.67,3664969,12921805.09,"FY15","06/30/2015"
"Europe and Central Asia","Ukraine",51,2341247.68,776700,3117947.68,"FY15","06/30/2015"
"Europe and Central Asia","Uzbekistan",17,120513.67,12900,133413.67,"FY15","06/30/2015"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",63,2811202.04,200880,3012082.06,"FY15","06/30/2015"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY15","06/30/2015"
"Latin America and the Caribbean","Argentina",195,5332187.01,3680163,9012350.02,"FY15","06/30/2015"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY15","06/30/2015"
"Latin America and the Caribbean","Belize",4,33066.33,11000,44066.33,"FY15","06/30/2015"
"Latin America and the Caribbean","Bolivia",32,512949.12,140500,653449.12,"FY15","06/30/2015"
"Latin America and the Caribbean","Brazil",267,14473494.45,6787478,21260972.15,"FY15","06/30/2015"
"Latin America and the Caribbean","Chile",67,2229233.82,1183105,3412338.48,"FY15","06/30/2015"
"Latin America and the Caribbean","Colombia",130,3160813.42,1286631,4447444.44,"FY15","06/30/2015"
"Latin America and the Caribbean","Costa Rica",33,757670.01,99709,857378.83,"FY15","06/30/2015"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY15","06/30/2015"
"Latin America and the Caribbean","Dominican Republic",36,658559.59,241850,900409.59,"FY15","06/30/2015"
"Latin America and the Caribbean","Ecuador",24,451227.78,39240,490467.84,"FY15","06/30/2015"
"Latin America and the Caribbean","El Salvador",19,486271.94,113500,599771.94,"FY15","06/30/2015"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY15","06/30/2015"
"Latin America and the Caribbean","Guatemala",28,1294742.3,210000,1504742.3,"FY15","06/30/2015"
"Latin America and the Caribbean","Guyana",7,76416.96,0,76416.96,"FY15","06/30/2015"
"Latin America and the Caribbean","Haiti",12,131664.48,25250,156914.48,"FY15","06/30/2015"
"Latin America and the Caribbean","Honduras",,1312214.71,142901,,"FY15","06/30/2015"
"Latin America and the Caribbean","Jamaica",24,505295.6,194244,699540.09,"FY15","06/30/2015"
"Latin America and the Caribbean","Mexico",201,6811502.82,2832134,9643636.35,"FY15","06/30/2015"
"Latin America and the Caribbean","Nicaragua",24,526651.16,12429,539079.73,"FY15","06/30/2015"
"Latin America and the Caribbean","Panama",32,1869488.55,153300,2022788.55,"FY15","06/30/2015"
"Latin America and the Caribbean","Paraguay",18,1117986.51,10000,1127986.51,"FY15","06/30/2015"
"Latin America and the Caribbean","Peru",78,2192293.7,963099,3155393.01,"FY15","06/30/2015"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY15","06/30/2015"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY15","06/30/2015"
"Latin America and the Caribbean","Trinidad and Tobago",15,358653.74,235000,593653.74,"FY15","06/30/2015"
"Latin America and the Caribbean","Uruguay",19,347857.83,120000,467857.83,"FY15","06/30/2015"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY15","06/30/2015"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",78,1765247.38,350000,2115247.38,"FY15","06/30/2015"
"Middle East and North Africa","Afghanistan",8,221320.27,0,221320.27,"FY15","06/30/2015"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY15","06/30/2015"
"Middle East and North Africa","Bahrain",1,216274.05,0,216274.05,"FY15","06/30/2015"
"Middle East and North Africa","Egypt, Arab Republic of",96,2889660.25,814871,3704531.5,"FY15","06/30/2015"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY15","06/30/2015"
"Middle East and North Africa","Iraq",11,435951.18,50000,485951.18,"FY15","06/30/2015"
"Middle East and North Africa","Jordan",57,1377250.9,604488,1981739.21,"FY15","06/30/2015"
"Middle East and North Africa","Lebanon",37,3285558.93,230430,3515988.93,"FY15","06/30/2015"
"Middle East and North Africa","Morocco",45,965950.97,515014,1480965.06,"FY15","06/30/2015"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY15","06/30/2015"
"Middle East and North Africa","Pakistan",136,5714368.98,643307,6357675.99,"FY15","06/30/2015"
"Middle East and North Africa","Saudi Arabia",10,361276.71,0,361276.71,"FY15","06/30/2015"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY15","06/30/2015"
"Middle East and North Africa","Tunisia",31,474686.92,417228,891914.72,"FY15","06/30/2015"
"Middle East and North Africa","United Arab Emirates",3,55000,0,55000,"FY15","06/30/2015"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY15","06/30/2015"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",46,1761941.03,33000,1794941.03,"FY15","06/30/2015"
"Worldwide","Australia",2,975,0,975,"FY15","06/30/2015"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY15","06/30/2015"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY15","06/30/2015"
"Worldwide","Greece",6,25742.34,40131,65873.59,"FY15","06/30/2015"
"Worldwide","Israel",1,10500,0,10500,"FY15","06/30/2015"
"Worldwide","Italy",1,960,0,960,"FY15","06/30/2015"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY15","06/30/2015"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY15","06/30/2015"
"Worldwide","Regional Investments: Worldwide",136,8301046.5,183000,8484046.5,"FY15","06/30/2015"
"Worldwide","Other",25,332651.21,11400,344051.21,"FY15","06/30/2015"
"Sub-Saharan Africa","Angola",7,342350.71,0,342350.71,"FY14","06/30/2014"
"Sub-Saharan Africa","Benin",10,203565.87,0,203565.87,"FY14","06/30/2014"
"Sub-Saharan Africa","Botswana",6,35451.6,0,35451.6,"FY14","06/30/2014"
"Sub-Saharan Africa","Burkina Faso",16,119439.29,0,119439.29,"FY14","06/30/2014"
"Sub-Saharan Africa","Burundi",9,47645.87,0,47645.87,"FY14","06/30/2014"
"Sub-Saharan Africa","Cameroon",38,629933.49,471500,1101433.49,"FY14","06/30/2014"
"Sub-Saharan Africa","Cape Verde",6,15901.91,0,15901.91,"FY14","06/30/2014"
"Sub-Saharan Africa","Central African Republic",1,7880.62,0,7880.62,"FY14","06/30/2014"
"Sub-Saharan Africa","Chad",8,127375.85,13900,141275.85,"FY14","06/30/2014"
"Sub-Saharan Africa","Congo, Democratic Republic of",22,278153.14,94000,372153.14,"FY14","06/30/2014"
"Sub-Saharan Africa","Congo, Republic of",7,138442.47,25000,163442.47,"FY14","06/30/2014"
"Sub-Saharan Africa","Cote d'Ivoire",51,737632.43,70964,808596.23,"FY14","06/30/2014"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY14","06/30/2014"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY14","06/30/2014"
"Sub-Saharan Africa","Ethiopia",11,326927.52,1719,328646.52,"FY14","06/30/2014"
"Sub-Saharan Africa","Gabon",5,210588.01,110000,320588.01,"FY14","06/30/2014"
"Sub-Saharan Africa","Gambia, The",10,26192.78,0,26192.78,"FY14","06/30/2014"
"Sub-Saharan Africa","Ghana",75,2041893.35,432750,2474643.35,"FY14","06/30/2014"
"Sub-Saharan Africa","Guinea",14,266204.13,11000,277204.13,"FY14","06/30/2014"
"Sub-Saharan Africa","Guinea-Bissau",4,7245.99,0,7245.99,"FY14","06/30/2014"
"Sub-Saharan Africa","Kenya",102,1692136.15,87162,1779298.2,"FY14","06/30/2014"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY14","06/30/2014"
"Sub-Saharan Africa","Liberia",8,83427.27,0,83427.27,"FY14","06/30/2014"
"Sub-Saharan Africa","Madagascar",21,254461.21,21000,275461.21,"FY14","06/30/2014"
"Sub-Saharan Africa","Malawi",21,166133.33,9500,175633.33,"FY14","06/30/2014"
"Sub-Saharan Africa","Mali",25,212577.89,40000,252577.89,"FY14","06/30/2014"
"Sub-Saharan Africa","Mauritania",,,9503,,"FY14","06/30/2014"
"Sub-Saharan Africa","Mauritius",21,183523,96,183619,"FY14","06/30/2014"
"Sub-Saharan Africa","Mozambique",28,378441.14,0,378441.14,"FY14","06/30/2014"
"Sub-Saharan Africa","Namibia",7,68258.69,0,68258.69,"FY14","06/30/2014"
"Sub-Saharan Africa","Niger",3,24609.6,0,24609.6,"FY14","06/30/2014"
"Sub-Saharan Africa","Nigeria",102,7220346.56,312155,7532501.6,"FY14","06/30/2014"
"Sub-Saharan Africa","Rwanda",16,111686.33,0,111686.33,"FY14","06/30/2014"
"Sub-Saharan Africa","Sao Tome and Principe",1,552.15,0,552.15,"FY14","06/30/2014"
"Sub-Saharan Africa","Senegal",36,352244.26,12398,364642.25,"FY14","06/30/2014"
"Sub-Saharan Africa","Seychelles",7,39443.21,2500,41943.21,"FY14","06/30/2014"
"Sub-Saharan Africa","Sierra Leone",9,71191.34,25000,96191.34,"FY14","06/30/2014"
"Sub-Saharan Africa","Somalia",2,974.61,0,974.61,"FY14","06/30/2014"
"Sub-Saharan Africa","South Africa",85,2351182.96,15000,2366182.96,"FY14","06/30/2014"
"Sub-Saharan Africa","South Sudan",1,5000,0,5000,"FY14","06/30/2014"
"Sub-Saharan Africa","Sudan",6,27267.78,6489,33756.57,"FY14","06/30/2014"
"Sub-Saharan Africa","Swaziland",9,47779.49,0,47779.49,"FY14","06/30/2014"
"Sub-Saharan Africa","Tanzania",59,383998.97,13041,397039.48,"FY14","06/30/2014"
"Sub-Saharan Africa","Togo",12,200167.83,0,200167.83,"FY14","06/30/2014"
"Sub-Saharan Africa","Uganda",53,462155.03,13088,475243.39,"FY14","06/30/2014"
"Sub-Saharan Africa","Zambia",38,254019.34,20286,274305.16,"FY14","06/30/2014"
"Sub-Saharan Africa","Zimbabwe",51,284261.86,99000,383261.86,"FY14","06/30/2014"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa",93,2675881.14,130898,2806779.61,"FY14","06/30/2014"
"East Asia and the Pacific","Cambodia",10,216136.06,60000,276136.06,"FY14","06/30/2014"
"East Asia and the Pacific","China",245,6987970.53,1680109,8668079.82,"FY14","06/30/2014"
"East Asia and the Pacific","Fiji",9,49993.22,2500,52493.22,"FY14","06/30/2014"
"East Asia and the Pacific","Indonesia",124,3422051.34,2097055,5519106.7,"FY14","06/30/2014"
"East Asia and the Pacific","Kiribati",1,1798,0,1798,"FY14","06/30/2014"
"East Asia and the Pacific","Korea, Republic of",51,868449.18,195700,1064149.18,"FY14","06/30/2014"
"East Asia and the Pacific","Lao People's Democratic Republic",12,61026.45,0,61026.45,"FY14","06/30/2014"
"East Asia and the Pacific","Malaysia",12,154868.4,5389,160257.52,"FY14","06/30/2014"
"East Asia and the Pacific","Mongolia",17,320153.51,31000,351153.51,"FY14","06/30/2014"
"East Asia and the Pacific","Myanmar",3,82000,0,82000,"FY14","06/30/2014"
"East Asia and the Pacific","Papua New Guinea",10,354196.63,25000,379196.63,"FY14","06/30/2014"
"East Asia and the Pacific","Philippines",101,2785757.39,695880,3481636.99,"FY14","06/30/2014"
"East Asia and the Pacific","Samoa",7,20096.57,0,20096.57,"FY14","06/30/2014"
"East Asia and the Pacific","Solomon Islands",2,45000,0,45000,"FY14","06/30/2014"
"East Asia and the Pacific","Thailand",85,2037866.14,1748419,3786285.48,"FY14","06/30/2014"
"East Asia and the Pacific","Timor-Leste",1,500,0,500,"FY14","06/30/2014"
"East Asia and the Pacific","Tonga",1,6787,0,6787,"FY14","06/30/2014"
"East Asia and the Pacific","Vanuatu",4,18104.05,0,18104.05,"FY14","06/30/2014"
"East Asia and the Pacific","Vietnam",53,4316543.78,253135,4569678.78,"FY14","06/30/2014"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific",43,1216564.03,0,1216564.03,"FY14","06/30/2014"
"South Asia","Bangladesh",41,1990600.96,92745,2083346.36,"FY14","06/30/2014"
"South Asia","Bhutan",3,45353.59,0,45353.59,"FY14","06/30/2014"
"South Asia","India",377,10406061.82,1693640,12099701.59,"FY14","06/30/2014"
"South Asia","Maldives",7,168250,8500,176750,"FY14","06/30/2014"
"South Asia","Nepal",21,178661.26,36000,214661.26,"FY14","06/30/2014"
"South Asia","Sri Lanka",41,635479.15,128616,764094.75,"FY14","06/30/2014"
"South Asia","Regional Investments: South Asia",11,238570,0,238570,"FY14","06/30/2014"
"Europe and Central Asia","Albania",21,487307.5,65692,552999.41,"FY14","06/30/2014"
"Europe and Central Asia","Armenia",16,320577.01,0,320577.01,"FY14","06/30/2014"
"Europe and Central Asia","Azerbaijan",26,539134.59,197930,737064.59,"FY14","06/30/2014"
"Europe and Central Asia","Belarus",18,577745.26,0,577745.26,"FY14","06/30/2014"
"Europe and Central Asia","Bosnia and Herzegovina",31,334589.21,10578,345166.76,"FY14","06/30/2014"
"Europe and Central Asia","Bulgaria",25,756308.35,183647,939955.06,"FY14","06/30/2014"
"Europe and Central Asia","Croatia",21,749760.14,197097,946856.91,"FY14","06/30/2014"
"Europe and Central Asia","Czech Republic",19,482772.92,245588,728360.84,"FY14","06/30/2014"
"Europe and Central Asia","Estonia",11,137806.09,11855,149661.07,"FY14","06/30/2014"
"Europe and Central Asia","Georgia",23,799608.7,11500,811108.7,"FY14","06/30/2014"
"Europe and Central Asia","Hungary",34,437985.38,70335,508320.21,"FY14","06/30/2014"
"Europe and Central Asia","Kazakhstan",33,1348769.99,282917,1631686.65,"FY14","06/30/2014"
"Europe and Central Asia","Kosovo",4,35654.42,0,35654.42,"FY14","06/30/2014"
"Europe and Central Asia","Kyrgyz Republic",15,117726.17,0,117726.17,"FY14","06/30/2014"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY14","06/30/2014"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY14","06/30/2014"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of",15,213040.19,25000,238040.19,"FY14","06/30/2014"
"Europe and Central Asia","Moldova",18,233322.94,45000,278322.94,"FY14","06/30/2014"
"Europe and Central Asia","Montenegro",6,86754.2,0,86754.2,"FY14","06/30/2014"
"Europe and Central Asia","Poland",45,438121.43,115317,553438.27,"FY14","06/30/2014"
"Europe and Central Asia","Romania",45,1937707.34,478163,2415870.8,"FY14","06/30/2014"
"Europe and Central Asia","Russian Federation",195,8812017.41,2523372,11335389.37,"FY14","06/30/2014"
"Europe and Central Asia","Serbia",38,1440357.93,135630,1575988.19,"FY14","06/30/2014"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY14","06/30/2014"
"Europe and Central Asia","Slovenia",12,241309.47,47383,288692.18,"FY14","06/30/2014"
"Europe and Central Asia","Tajikistan",20,118941.21,0,118941.21,"FY14","06/30/2014"
"Europe and Central Asia","Turkey",179,7934199.31,3471033,11405231.99,"FY14","06/30/2014"
"Europe and Central Asia","Ukraine",50,2292684.39,751700,3044384.39,"FY14","06/30/2014"
"Europe and Central Asia","Uzbekistan",17,119818.88,12900,132718.88,"FY14","06/30/2014"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",58,2612732.79,200880,2813612.81,"FY14","06/30/2014"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY14","06/30/2014"
"Latin America and the Caribbean","Argentina",191,5062099.42,3654163,8716262.43,"FY14","06/30/2014"
"Latin America and the Caribbean","Barbados",6,128625.08,0,128625.08,"FY14","06/30/2014"
"Latin America and the Caribbean","Belize",4,31369.88,11000,42369.88,"FY14","06/30/2014"
"Latin America and the Caribbean","Bolivia",29,495075.71,140500,635575.71,"FY14","06/30/2014"
"Latin America and the Caribbean","Brazil",257,13478958.29,6327478,19806435.99,"FY14","06/30/2014"
"Latin America and the Caribbean","Chile",64,2074233.82,1183105,3257338.48,"FY14","06/30/2014"
"Latin America and the Caribbean","Colombia",125,2892671.62,1286631,4179302.64,"FY14","06/30/2014"
"Latin America and the Caribbean","Costa Rica",32,614885.5,99709,714594.32,"FY14","06/30/2014"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY14","06/30/2014"
"Latin America and the Caribbean","Dominican Republic",36,648559.59,241850,890409.59,"FY14","06/30/2014"
"Latin America and the Caribbean","Ecuador",23,348626.97,39240,387867.03,"FY14","06/30/2014"
"Latin America and the Caribbean","El Salvador",19,445926.36,113500,559426.36,"FY14","06/30/2014"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY14","06/30/2014"
"Latin America and the Caribbean","Guatemala",27,1131826.99,210000,1341826.99,"FY14","06/30/2014"
"Latin America and the Caribbean","Guyana",7,31416.96,0,31416.96,"FY14","06/30/2014"
"Latin America and the Caribbean","Haiti",11,94664.48,25250,119914.48,"FY14","06/30/2014"
"Latin America and the Caribbean","Honduras",22,1017071.43,124401,1141472.18,"FY14","06/30/2014"
"Latin America and the Caribbean","Jamaica",22,454495.6,194244,648740.09,"FY14","06/30/2014"
"Latin America and the Caribbean","Mexico",198,6621803.96,2807134,9428937.49,"FY14","06/30/2014"
"Latin America and the Caribbean","Nicaragua",23,442710.61,12429,455139.18,"FY14","06/30/2014"
"Latin America and the Caribbean","Panama",30,1660572.91,153300,1813872.91,"FY14","06/30/2014"
"Latin America and the Caribbean","Paraguay",18,925227.24,10000,935227.24,"FY14","06/30/2014"
"Latin America and the Caribbean","Peru",73,2115116.09,923871,3038987.29,"FY14","06/30/2014"
"Latin America and the Caribbean","St. Lucia",3,45421.91,0,45421.91,"FY14","06/30/2014"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY14","06/30/2014"
"Latin America and the Caribbean","Trinidad and Tobago",15,358653.74,235000,593653.74,"FY14","06/30/2014"
"Latin America and the Caribbean","Uruguay",19,347857.83,120000,467857.83,"FY14","06/30/2014"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791,1601020.96,"FY14","06/30/2014"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",76,1604152.66,350000,1954152.66,"FY14","06/30/2014"
"Middle East and North Africa","Afghanistan",8,220372.83,0,220372.83,"FY14","06/30/2014"
"Middle East and North Africa","Algeria",14,253557.27,5557,259114.17,"FY14","06/30/2014"
"Middle East and North Africa","Bahrain",1,216274.05,0,216274.05,"FY14","06/30/2014"
"Middle East and North Africa","Egypt, Arab Republic of",92,2760659.67,809871,3570530.92,"FY14","06/30/2014"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199,71542.37,"FY14","06/30/2014"
"Middle East and North Africa","Iraq",9,415667.58,50000,465667.58,"FY14","06/30/2014"
"Middle East and North Africa","Jordan",47,1259455.54,532478,1791933.86,"FY14","06/30/2014"
"Middle East and North Africa","Lebanon",36,2618707.45,230430,2849137.45,"FY14","06/30/2014"
"Middle East and North Africa","Morocco",45,964244.25,515014,1479258.35,"FY14","06/30/2014"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY14","06/30/2014"
"Middle East and North Africa","Pakistan",131,4830272.32,607970,5438242.45,"FY14","06/30/2014"
"Middle East and North Africa","Saudi Arabia",9,361276.71,0,361276.71,"FY14","06/30/2014"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY14","06/30/2014"
"Middle East and North Africa","Tunisia",29,458686.92,417228,875914.72,"FY14","06/30/2014"
"Middle East and North Africa","United Arab Emirates",2,30000,0,30000,"FY14","06/30/2014"
"Middle East and North Africa","Yemen, Republic of",14,206004.2,56105,262108.86,"FY14","06/30/2014"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",43,1752682.47,33000,1785682.47,"FY14","06/30/2014"
"Worldwide","Australia",2,975,0,975,"FY14","06/30/2014"
"Worldwide","Cyprus",7,32181.47,645,32826.72,"FY14","06/30/2014"
"Worldwide","Finland",4,1233.13,1915,3147.64,"FY14","06/30/2014"
"Worldwide","Greece",6,25742.34,40131,65873.59,"FY14","06/30/2014"
"Worldwide","Israel",1,10500,0,10500,"FY14","06/30/2014"
"Worldwide","Italy",1,960,0,960,"FY14","06/30/2014"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY14","06/30/2014"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY14","06/30/2014"
"Worldwide","Regional Investments: Worldwide",121,7005836.6,183000,7188836.6,"FY14","06/30/2014"
"Worldwide","Other",25,327632.86,11400,339032.86,"FY14","06/30/2014"
"Sub-Saharan Africa","Angola",7,326353.03,0,326353.03,"FY13","06/30/2013"
"Sub-Saharan Africa","Benin",10,157645.04,0,157645.04,"FY13","06/30/2013"
"Sub-Saharan Africa","Botswana",6,35451.6,0,35451.6,"FY13","06/30/2013"
"Sub-Saharan Africa","Burkina Faso",15,86750.61,0,86750.61,"FY13","06/30/2013"
"Sub-Saharan Africa","Burundi",9,46512.51,0,46512.51,"FY13","06/30/2013"
"Sub-Saharan Africa","Cameroon",37,597275.47,471500,1068775.47,"FY13","06/30/2013"
"Sub-Saharan Africa","Cape Verde",6,15901.91,0,15901.91,"FY13","06/30/2013"
"Sub-Saharan Africa","Central African Republic",1,5730.41,0,5730.41,"FY13","06/30/2013"
"Sub-Saharan Africa","Chad",7,48510.06,13900,62410.06,"FY13","06/30/2013"
"Sub-Saharan Africa","Congo, Democratic Republic of",21,245973.14,94000,339973.14,"FY13","06/30/2013"
"Sub-Saharan Africa","Congo, Republic of",7,138442.47,25000,163442.47,"FY13","06/30/2013"
"Sub-Saharan Africa","Cote d'Ivoire",49,473018.77,70964,543982.57,"FY13","06/30/2013"
"Sub-Saharan Africa","Djibouti",1,4000,0,4000,"FY13","06/30/2013"
"Sub-Saharan Africa","Eritrea",1,949.22,0,949.22,"FY13","06/30/2013"
"Sub-Saharan Africa","Ethiopia",8,98927.52,1719,100646.52,"FY13","06/30/2013"
"Sub-Saharan Africa","Gabon",5,145588.01,110000,255588.01,"FY13","06/30/2013"
"Sub-Saharan Africa","Gambia, The",10,22192.78,0,22192.78,"FY13","06/30/2013"
"Sub-Saharan Africa","Ghana",72,1819705.83,432750,2252455.83,"FY13","06/30/2013"
"Sub-Saharan Africa","Guinea",11,235660.77,0,235660.77,"FY13","06/30/2013"
"Sub-Saharan Africa","Guinea-Bissau",4,7245.99,0,7245.99,"FY13","06/30/2013"
"Sub-Saharan Africa","Kenya",97,1482458.73,86217,1568675.78,"FY13","06/30/2013"
"Sub-Saharan Africa","Lesotho",2,454,0,454,"FY13","06/30/2013"
"Sub-Saharan Africa","Liberia",8,70957.37,0,70957.37,"FY13","06/30/2013"
"Sub-Saharan Africa","Madagascar",21,224374.5,21000,245374.5,"FY13","06/30/2013"
